img,output,timestamp
.gradio\flagged\img\0b908366a061445b68bd\download (96).jpeg,,2026-05-02 10:37:12.536867
.gradio\flagged\img\7a58f2c1fe122d5a860d\download (96).jpeg,"Prediction: table
Confidence: 1.00",2026-05-02 10:37:17.747436
